Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
 1.6895605801    ,3    ,10    ,3    ,2    ,28    ,21    ,Reaction1
 1.7027982676    ,4    ,9    ,3    ,2    ,29    ,21    ,Reaction1
 1.7240944772    ,3    ,9    ,2    ,2    ,29    ,22    ,Reaction2
 1.7893985652    ,2    ,9    ,1    ,2    ,29    ,23    ,Reaction2
 2.2794071995    ,3    ,8    ,1    ,2    ,30    ,23    ,Reaction1
 2.3446181680    ,4    ,7    ,1    ,2    ,31    ,23    ,Reaction1
 2.3757065764    ,3    ,7    ,0    ,2    ,31    ,24    ,Reaction2
 2.4575054214    ,4    ,6    ,0    ,2    ,32    ,24    ,Reaction1
 2.5209330193    ,2    ,6    ,0    ,3    ,32    ,24    ,ReactionN
 2.5960679565    ,3    ,5    ,0    ,3    ,33    ,24    ,Reaction1
 2.7029369460    ,1    ,5    ,0    ,4    ,33    ,24    ,ReactionN
 2.7106676187    ,2    ,4    ,0    ,4    ,34    ,24    ,Reaction1
 2.7281840505    ,0    ,4    ,0    ,5    ,34    ,24    ,ReactionN
 3.1425586947    ,1    ,3    ,0    ,5    ,35    ,24    ,Reaction1
 3.2638294177    ,2    ,2    ,0    ,5    ,36    ,24    ,Reaction1
 3.5771722769    ,0    ,2    ,0    ,6    ,36    ,24    ,ReactionN
 4.0581904880    ,1    ,1    ,0    ,6    ,37    ,24    ,Reaction1
 4.2947133418    ,2    ,0    ,0    ,6    ,38    ,24    ,Reaction1
 4.3329288166    ,0    ,0    ,0    ,7    ,38    ,24    ,ReactionN
 100.0000000000    ,0    ,0    ,0    ,7    ,38    ,24    ,TimeMax
 ####
 Run: 005
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
0.0000000000    ,0    ,38    ,24    ,0    ,0    ,0    ,TimeZero
 0.0174605509    ,1    ,37    ,24    ,0    ,1    ,0    ,Reaction1
 0.0248474998    ,2    ,36    ,24    ,0    ,2    ,0    ,Reaction1
 0.0390125030    ,3    ,35    ,24    ,0    ,3    ,0    ,Reaction1
 0.0475202504    ,2    ,35    ,23    ,0    ,3    ,1    ,Reaction2
 0.0541478902    ,1    ,35    ,22    ,0    ,3    ,2    ,Reaction2
 0.0875120450    ,2    ,34    ,22    ,0    ,4    ,2    ,Reaction1
 0.1038255716    ,1    ,34    ,21    ,0    ,4    ,3    ,Reaction2
 0.1079104506    ,2    ,33    ,21    ,0    ,5    ,3    ,Reaction1
 0.1196401990    ,1    ,33    ,20    ,0    ,5    ,4    ,Reaction2
